OBJECTID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_Acres_AutoCalc,poly_GlobalID,poly_Source,irwin_ABCDMisc,irwin_ADSPermissionState,irwin_CalculatedAcres,irwin_ContainmentDateTime,irwin_ControlDateTime,irwin_DailyAcres,irwin_DiscoveryAcres,irwin_DispatchCenterID,irwin_EstimatedCostToDate,irwin_FFReportApprovedByTitle,irwin_FFReportApprovedByUnit,irwin_FFReportApprovedDate,irwin_FireBehaviorGeneral,irwin_FireBehaviorGeneral1,irwin_FireBehaviorGeneral2,irwin_FireBehaviorGeneral3,irwin_FireCause,irwin_FireCauseGeneral,irwin_FireCauseSpecific,irwin_FireCode,irwin_FireDepartmentID,irwin_FireDiscoveryDateTime,irwin_FireMgmtComplexity,irwin_FireOutDateTime,irwin_FSConfinePercent,irwin_FSFullSuppPercent,irwin_FSMonitorPercent,irwin_FSPointZonePercent,irwin_FSJobCode,irwin_FSOverrideCode,irwin_GACC,irwin_ICS209ReportDateTime,irwin_ICS209RForTimePeriodFrom,irwin_ICS209RForTimePeriodTo,irwin_ICS209ReportStatus,irwin_IncidentManagementOrg,irwin_IncidentName,irwin_IncidentShortDescription,irwin_IncidentTypeCategory,irwin_IncidentTypeKind,irwin_InitialLatitude,irwin_InitialLongitude,irwin_InitialResponseAcres,irwin_InitialResponseDateTime,irwin_IrwinID,irwin_IsFireCauseInvestigated,irwin_IsFireCodeRequested,irwin_IsFSAssisted,irwin_IsMultiJurisdictional,irwin_IsReimbursable,irwin_IsTrespass,irwin_IsUnifiedCommand,irwin_LocalIncidentIdentifier,irwin_PercentContained,irwin_PercentPerToBeContained,irwin_POOCity,irwin_POOCounty,irwin_POODispatchCenterID,irwin_POOFips,irwin_POOJurisdictionalAgency,irwin_POOJurisdictionalUnit,irwin_POOJurisdUnitParentUnit,irwin_POOLandownerCategory,irwin_POOLandownerKind,irwin_POOLegalDescPrinMeridian,irwin_POOLegalDescQtr,irwin_POOLegalDescQtrQtr,irwin_POOLegalDescRange,irwin_POOLegalDescSection,irwin_POOLegalDescTownship,irwin_POOPredServiceAreaID,irwin_POOProtectingAgency,irwin_POOProtectingUnit,irwin_POOState,irwin_PredominantFuelGroup,irwin_PredominantFuelModel,irwin_PrimaryFuelModel,irwin_SecondaryFuelModel,irwin_TotalIncidentPersonnel,irwin_UniqueFireIdentifier,irwin_WFDSSDecisionStatus,irwin_CreatedBySystem,irwin_ModifiedBySystem,irwin_IsDispatchComplete,irwin_OrganizationalAssessment,irwin_StratDecisionPublishDate,irwin_GlobalID,irwin_Source,irwin_ArchivedOn,irwin_ModifiedOnDateTime_dt,irwin_CreatedOnDateTime_dt,GlobalID,irwin_IsCpxChild,irwin_CpxName,irwin_CpxID,SHAPE_Length,SHAPE_Area
15425,JOHNSON,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/03/15 14:09:59+00,2022/03/15 14:09:59+00,,22.9315623225827,{936DE81E-0607-485D-941E-865BDBBD511F},FFP,,CERTIFIED,,2022/03/06 01:30:00+00,2022/03/10 22:30:00+00,23,1,ARAOC,,,,2022/03/15 14:09:57+00,,,,,Human,Debris/Open Burning,Field Burning,PG5K,,2022/03/05 18:00:00+00,,2022/03/11 18:00:00+00,,,,,PA,1522,SACC,,,,,,JOHNSON,,WF,FI,34.9882,-96.59705,,2022/03/05 18:14:59+00,{A1AFA6E2-CC88-453F-86FA-FB8B6C0906A4},,0,1,1,0,0,,000696,,,,Seminole,ARAOC,40133,,,,Private,Private,,,,,,,SA03,BIA,OKWEA,US-OK,Grass,GR2,,,,2022-OKWEA-000696,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/03/15 14:09:57+00,2022/03/06 18:04:52+00,{9426B74E-F40E-4B77-9098-1F1BC6E917A7},0,,,0.0193085234107184,-9.16208428886402e-06
15426,Wild Rock Fire,Wildfire Daily Fire Perimeter,Mixed Methods,,2022/03/06 01:53:32+00,2022/03/15 17:50:12+00,,0.147234252120989,{F1C5522F-F8A9-4194-B6B5-C1367330C97B},2022 NIFS,,FIREREPORTING,,2022/03/11 18:49:00+00,2022/03/11 18:49:59+00,0.2,0.2,PAMACC,,,,,,,,,Human,Equipment,Motor Vehicle,PG4X,,2022/03/05 22:34:59+00,,2022/03/11 18:51:00+00,,,,,,,EACC,,,,,,Wild Rock (Ames-WV-DOF),,WF,FI,38.088917,-81.089533,0.15,2022/03/05 22:34:59+00,{694CF46B-36B3-482D-9D05-468C5F8D0DEB},1,0,0,0,0,0,,000283,,,,Fayette,PAMACC,54019,NPS,WVNRP,,NPS,Federal,,,,,,,EA17,NPS,WVNRP,US-WV,Timber,TL9,,,,2022-WVNRP-000283,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/03/15 17:14:43+00,2022/03/06 12:56:04+00,{C4C22043-90F9-4168-8089-56FEFF6D257C},0,,,0.00186370942098903,-6.11905657623332e-08
15427,Lake Shore Gardens Fire,Wildfire Daily Fire Perimeter,GPS-Walked/Driven,196.771794189004,2022/03/15 19:27:38+00,2022/03/15 19:27:56+00,2022/03/14 21:30:00+00,196.771054386398,{BA6ABC93-9B95-43F7-B7E2-8EFAF36FE92C},2022 NIFS,,DEFAULT,,,,200,60,TXTIC,,,,,,,,,Undetermined,Undetermined,,,,2022/03/14 21:59:58+00,Type 5 Incident,,,,,,,,SACC,,,,,,Lake Shore Gardens,,WF,FI,28.02182833,-97.85563667,,,{D9AECCFD-2D08-4B88-9A2D-0566FCE8E319},,0,,,,,0,221633,100,,,Jim Wells,TXTIC,48249,SFS,TXTXS,,Private,Private,,,,,,,SA14,SFS,TXTXS,US-TX,,,,,,2022-TXTXS-221633,No Decision,wires,wires,0,,,,IRWIN,,2022/03/15 17:35:28+00,2022/03/14 23:05:23+00,{231FB4ED-B1F0-423B-AE14-305B3F20C320},0,,,0.051011729093559,-7.30727956375629e-05
15428,CN Wolf,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/03/15 21:08:53+00,2022/03/15 21:08:53+00,,4.36641803682313,{D3DDDEC8-03DD-4FC4-B076-E74DF615D3BD},2022 NIFS,EK2T,FIREREPORTING,,2022/03/04 02:13:59+00,2022/03/10 16:54:00+00,7,1,ALAIC,,,,,,,,,Undetermined,,,,,2022/03/03 23:02:33+00,,2022/03/10 16:54:00+00,,,,,P8,0801,SACC,,,,,,CN Wolf,,WF,FI,31.06975,-86.64075,7,,{DBBD2D0C-0828-4975-A7E6-AF988E3EB78E},,0,0,0,0,0,,220129,,,,Covington,ALAIC,01039,FS,ALALF,,USFS,Federal,,,,,,,SA39,FS,ALALF,US-AL,,,,,,2022-ALALF-220129,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/03/10 16:55:02+00,2022/03/10 14:52:47+00,{918D22AF-0876-4B20-B4A5-28637A0C4390},0,,,0.00519528932411016,-1.67003135720345e-06
15429,Stampede CA,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/03/15 21:20:33+00,2022/03/15 21:20:33+00,,8.87508547803717,{2FBE95C2-418A-40CF-86BA-C53C51E9F09B},FFP,,CERTIFIED,,2022/02/20 19:47:00+00,2022/02/20 19:47:00+00,2.3,1,SDGPC,,,,2022/03/15 21:20:30+00,,,,,Human,Debris/Open Burning,,PGG9,,2022/02/20 18:49:59+00,,2022/03/15 18:00:00+00,,,,,PN,1522,RMCC,,,,,,Stampede CA,,WF,FI,44.47879,-103.5758,,,{844855F2-7F75-45A8-BB89-E049C1CDC585},,0,1,0,0,0,,220085,,,,Lawrence,SDGPC,46081,,,,Private,Private,,,,,,,RM05,DWF,SDSDS,US-SD,Grass,GR1,,,,2022-SDSDS-220085,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/03/15 21:20:31+00,2022/02/21 16:39:49+00,{0B18D733-2A4F-405D-91B1-1CFE204D3F6C},0,,,0.009439096899053,-4.06252916294348e-06
15430,3 Oaks,Wildfire Daily Fire Perimeter,GPS-Walked/Driven,3512.57319026124,2022/03/17 00:53:00+00,2022/03/17 00:56:56+00,2022/03/17 19:44:59+00,3512.56143364671,{1B8CB792-299C-4C34-AE8B-C9A202E1284D},2022 NIFS,,DEFAULT,,,,3512,200,TXTIC,0,,,,Minimal,Isolated Torching,Smoldering,,Human,Other Human Cause,Cutting/Welding,,,2022/03/14 20:11:47+00,Type 4 Incident,,0,100,0,0,,,SACC,2022/03/16 21:59:59+00,2022/03/16 12:45:00+00,2022/03/16 21:59:59+00,U,Type 4 IC,3 Oaks,"13 miles East South East of Goldthwaite, TX",WF,FI,31.38765082,-98.36157723,,,{098BE180-64E5-463B-AB65-F4892EC1731D},,0,,,,,1,221627,90,100,,Mills,TXTIC,48333,SFS,TXTXS,,Private,Private,,,,,,,SA10,SFS,TXTXS,US-TX,,,Tall Grass (2.5 feet),Brush (2 feet),29,2022-TXTXS-221627,No Decision,wires,wires,0,,,,IRWIN,,2022/03/17 00:52:54+00,2022/03/14 20:56:11+00,{F02D7439-3291-471D-BD50-9B7D64FAD402},0,,,0.363608370769969,-0.00134815061862902
15432,Lookout,Wildfire Daily Fire Perimeter,Mixed Methods,,2022/03/15 22:38:54+00,2022/03/15 23:40:19+00,,1.72165938933581,{FAA2468D-3114-42D9-BEA1-19C7CAA299CF},2022 NIFS,,DEFAULT,,,,1,,SDGPC,,,,,,,,,Human,Smoking,Cigarette,PHF6,,2022/03/15 21:45:00+00,,,,,,,,,RMCC,,,,,,Lookout,,WF,FI,,,,,{07BF208C-A97F-4741-8BDF-4E3AF87AE650},1,0,1,,,0,,000021,,,,Oglala Lakota,SDGPC,46102,BIA,SDPRA,,BIA,Federal,,,,,,,RM24,BIA,SDPRA,US-SD,,,,,,2022-SDPRA-000021,No Decision,INFORM_Mobile,firecode,0,,,,IRWIN,,2022/03/15 22:26:18+00,2022/03/15 22:26:16+00,{94B06903-613B-4ED3-B717-29BED674BEE3},0,,,0.00559469766458248,-7.71181368916191e-07
15434,Sand Creek,Wildfire Daily Fire Perimeter,Mixed Methods,,2022/03/13 19:44:09+00,2022/03/16 17:51:49+00,,4.69672287162987,{564B85AD-535C-408A-B503-96A2826E9BEA},2022 NIFS,,DEFAULT,,2022/03/13 20:34:00+00,2022/03/14 16:34:00+00,4.7,1.5,SDGPC,,,,,,,,,Human,,,PG9Y,,2022/03/13 17:23:00+00,,,,,,,P2,0207,RMCC,,,,,,Sand Creek,,WF,FI,44.25946,-100.1038,1.5,,{8BA9BB97-E241-4BD7-9114-93CF1F2B444C},,0,1,0,0,0,,220124,,,,Stanley,SDGPC,46117,,,,Private,Private,,,,,,,RM23,FS,NENBF,US-SD,,,,,,2022-NENBF-220124,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/03/14 16:35:40+00,2022/03/13 17:24:55+00,{27A47AD6-05BC-46CC-B9EB-2E9085A8ABFD},0,,,0.009722859243466,-2.14204243752469e-06
15435,Christine Fire,Wildfire Daily Fire Perimeter,Mixed Methods,2863.11232024635,2022/03/16 18:42:14+00,2022/03/16 18:43:02+00,2022/02/16 12:43:00+00,2863.09396462022,{23C83820-FF64-4DBD-8872-083CC6C30B33},2022 NIFS,,DEFAULT,,,,2900,200,TXTIC,0,,,,Active,Wind Driven Runs,Creeping,,Undetermined,Undetermined,,,,2022/03/15 19:35:02+00,Type 5 Incident,,0,100,0,0,,,SACC,2022/03/16 02:00:00+00,2022/03/15 19:44:59+00,2022/03/16 02:00:00+00,I,Type 5 IC,Christine,"about 16 miles North of Tilden, Texas.",WF,FI,28.70295765,-98.54076693,,,{832F831E-CA70-4B6D-8F91-E6A29F541A36},,0,,,,,0,221646,90,100,,Atascosa,TXTIC,48013,SFS,TXTXS,,Private,Private,,,,,,,SA14,SFS,TXTXS,US-TX,,,Tall Grass (2.5 feet),Brush (2 feet),56,2022-TXTXS-221646,No Decision,wires,wires,0,,,,IRWIN,,2022/03/16 18:25:39+00,2022/03/15 21:23:30+00,{5BE71F33-10E1-450B-8CA7-BA3AE466522D},0,,,0.160057167188455,-0.00107005364280485
15436,RX Terry Well,Prescribed Fire,GPS-Walked,,2022/03/16 18:47:21+00,2022/03/16 18:48:49+00,2022/03/07 19:47:59+00,102.03983096703,{0EE54FE3-D624-4FD7-88C5-EDCD957F051E},2022 NIFS,,DEFAULT,,,,102,1,NMSDC,,,,,,,,,Undetermined,,,,,2022/03/04 18:48:46+00,,,,,,,,,SWCC,,,,,,RX Terry Well,,RX,FI,33.01245,-108.0728,102,,{696D2ADF-0A94-41BC-A4B0-234ADA7AAE53},,0,1,0,0,0,,000050,,,,Grant,NMSDC,35017,FS,NMGNF,,USFS,Federal,,,,,,,SW08,FS,NMGNF,US-NM,,,,,,2022-NMGNF-000050,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/03/16 18:47:48+00,2022/03/04 19:11:11+00,{C4FAA9D4-58EC-4182-AD25-291B180811B6},0,,,0.0319199259063249,-3.98457713557269e-05
15437,Balls Branch,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/03/17 14:37:44+00,2022/03/17 14:37:44+00,,234.954447493295,{0CCE5ED0-4360-4EAB-A3F5-2BBFBFD89A94},FFP,,CERTIFIED,234.755,2022/03/07 00:00:00+00,,235,60,KYKIC,30000,,,2022/03/17 14:37:42+00,Active,Uphill Runs,Wind Driven Runs,Backing,Undetermined,Undetermined,,PG5C,,2022/03/04 22:43:00+00,Type 4 Incident,2022/03/14 14:50:00+00,0,100,0,0,PN,1522,SACC,2022/03/06 18:14:59+00,2022/03/04 22:44:59+00,2022/03/06 18:14:59+00,I,Type 4 IC,Balls Branch,"10 Miles south of Manchester, KY.",WF,FI,37.05598,-83.78493,60,2022/03/04 23:45:00+00,{F9D9D4FE-A19A-45BA-8DD2-DF7B60A8A138},1,0,1,1,0,1,0,000057,100,100,,Clay,KYKIC,21051,FS,KYDBF,,Private,Private,,,,,,,SA27,DVF,KYKYS,US-KY,Timber,TL6,Hardwood Litter,,24,2022-KYKYS-000057,Approved Decision,wildcad,INFORM_Inspector,0,Type 4 Incident,2022/03/07 17:56:36+00,,IRWIN,,2022/03/17 14:37:44+00,2022/03/05 00:52:47+00,{53A20940-4C63-4B99-817B-E85F387633FC},0,,,0.0487089969337873,-9.63267982313493e-05
15438,I25 Divide,Wildfire Daily Fire Perimeter,Mixed Methods,1.06415437,2022/03/17 17:07:02+00,2022/03/17 17:07:02+00,,1.06415010224372,{8D8FB614-3B13-49F8-91DC-1F12777721BC},FFP,,CERTIFIED,,,,1.06,1,WYCPC,,,,2022/03/17 17:07:00+00,,,,,Undetermined,Equipment,Motor Vehicle,PHD6,,2022/03/15 13:57:59+00,,,,,,,PN,1522,RMCC,,,,,,I-25 DIVIDE,,WF,FI,43.7605,-106.6196,1.06,2022/03/15 13:58:57+00,{AF647EBF-7079-4D88-B006-9FBACC7B0C4D},,0,1,0,0,0,,220034,,,,Johnson,WYCPC,56019,,,,Private,Private,,,,,,,RM04,C&L,WYJOX,US-WY,Grass,GR1,,,,2022-WYJOX-220034,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/03/17 17:07:01+00,2022/03/15 14:27:56+00,{911BCE7B-826D-4E4A-B458-2DB9A3BEDE39},0,,,0.00382597498305231,-4.82450306403089e-07
15439,RX Sacaton,Prescribed Fire,Digitized-Other,,2022/03/16 20:23:47+00,2022/03/16 20:52:28+00,2022/03/01 21:52:00+00,604.671665437501,{740CCA74-C5AB-4F85-80F6-554F2E26EC4C},2022 NIFS,,DEFAULT,604.67,,,605,1,NMSDC,,,,,,,,,Human,,,,,2022/02/17 22:57:07+00,,,,,,,,,SWCC,,,,,,RX Sacaton,,RX,FI,33.20941,-108.7502,760,,{73D9DA92-9A56-4B78-9E12-8B8D4024A6C7},,0,1,0,0,0,,000041,,,,Catron,NMSDC,35003,FS,NMGNF,,USFS,Federal,,,,,,,SW08,FS,NMGNF,US-NM,,,,,,2022-NMGNF-000041,No Decision,wildcad,INFORM_Inspector,0,,,,IRWIN,,2022/03/16 20:25:48+00,2022/02/18 20:11:40+00,{1E15921B-5C97-4D3A-B97B-96D5192BED05},0,,,0.116763108170277,-0.000236640045059792
15440,Art's fire,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/03/16 20:41:19+00,2022/03/16 20:41:19+00,,7.35047059205973,{A189BCE0-4AE1-4510-B098-6CADE17A5526},2022 NIFS,,DEFAULT,,2022/03/15 20:29:59+00,2022/03/15 20:40:00+00,8,,NHNEC,,,,,,,,,Human,Debris/Open Burning,Yard Debris,,,2022/03/15 19:20:00+00,,2022/03/15 20:50:09+00,,,,,,,EACC,,,,,,Art's fire,,WF,FI,,,,2022/03/15 19:24:00+00,{D55D9CC8-49C0-42A6-AC5A-E1A7B54DCFF2},1,0,0,,,,,22000816,,,,Washington,NHNEC,23029,,,,Private,Private,,,,,,,EA22,SFS,Memes,US-ME,,,,,,2022-MEMES-22000816,No Decision,INFORM_Mobile,INFORM_Mobile,0,,,,IRWIN,,2022/03/15 20:53:02+00,2022/03/15 20:53:02+00,{BC8841EE-F1D7-46BA-97DC-B6F96A8C7765},0,,,0.0136560456146128,-3.38190028497476e-06
15441,Unicoi,Wildfire Daily Fire Perimeter,Hand Sketch,,2022/03/17 11:41:40+00,2022/03/17 11:41:40+00,,184.281091750203,{EFFF15E6-722E-466B-B54E-22FC99466272},FFP,,CERTIFIED,184.5509,2022/02/17 23:00:00+00,2022/02/18 23:00:00+00,180,1,GAGIC,35000,,,2022/03/17 11:41:35+00,Minimal,Smoldering,Smoldering,,Human,Debris/Open Burning,,PF4P,,2022/02/12 19:44:00+00,Type 4 Incident,2022/02/22 12:59:59+00,0,100,0,0,P8,0803,SACC,2022/02/16 21:59:59+00,2022/02/16 12:59:59+00,2022/02/16 21:59:59+00,F,Type 4 IC,Unicoi,"2 miles north of Helen, GA",WF,FI,34.73212,-83.70415,,2022/02/12 20:00:00+00,{0921EBF6-C8BE-4EC0-B8A1-E13A8BEC7062},1,0,0,0,0,0,0,220019,100,100,Helen,White,GAGIC,13311,FS,GACHF,,Private,Private,,,,,,,SA31B,FS,GACHF,US-GA,Timber,TL6,Hardwood Litter,,,2022-GACHF-220019,Approved Decision,wildcad,INFORM_Inspector,0,Type 4 Incident,2022/02/17 18:27:21+00,,IRWIN,,2022/03/17 11:41:37+00,2022/02/13 13:16:24+00,{0AB3C47B-3E42-4935-99DF-3DEE94986D5C},0,,,0.0444528417508816,-7.33997027391291e-05
15442,Alpaugh,Wildfire Daily Fire Perimeter,Mixed Methods,,2022/03/16 18:20:14+00,2022/03/21 20:39:24+00,,0.0610833871562132,{7FBF498F-D97A-410D-B27E-C32AD0C39133},2022 NIFS,,DEFAULT,,,,0.1,1,CACCCC,,,,,,,,,Undetermined,Undetermined,,PHJ0,,2022/03/16 14:47:00+00,,,,,,,,,OSCC,,,,,,ALPAUGH,,WF,FI,35.87494,-119.5002,,2022/03/16 14:55:07+00,{100E5162-E95F-467A-A700-6AE2363A3CA0},,0,0,0,0,0,,000358,,,,Tulare,CATUCC,06107,BLM,CACND,,BLM,Federal,,,,,,,SC05,BLM,CACND,US-CA,Grass-Shrub,GS4,,,,2022-CACND-000358,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/03/16 22:52:52+00,2022/03/16 18:42:32+00,{430A49B0-10B7-4168-A6C3-2564D4CBC077},0,,,0.0007203376225714,-2.46707764003841e-08
15443,Bono Complex,Wildfire Daily Fire Perimeter,Mixed Methods,196.126061155325,2022/03/17 01:27:26+00,2022/03/17 01:30:56+00,2022/03/16 20:00:00+00,196.125370607253,{9A1FEAF7-F430-464D-8C85-BF18745D8C30},2022 NIFS,,DEFAULT,,,,34,75,TXTIC,,,,,,,,,Undetermined,Undetermined,,,,2022/03/16 21:59:51+00,Type 5 Incident,,,,,,,,SACC,,,,,,Park Road 21,,WF,FI,32.297564,-97.495059,,,{F464687F-A381-4999-9FE0-CEFEA5CE4E08},,0,,,,,1,221687,75,,,Johnson,TXTIC,48251,SFS,TXTXS,,Private,Private,,,,,,,SA11,SFS,TXTXS,US-TX,,,,,,2022-TXTXS-221687,No Decision,wires,wires,0,,,,IRWIN,,2022/03/17 00:47:06+00,2022/03/16 23:52:35+00,{4584F172-50B8-4822-8AFC-7A19B0C7B597},1,Bono Complex,{7AE238D9-E0BF-4DCF-A3FE-AC927246C11E},0.0748620975345348,-7.5997678133432e-05
15444,62 Fire,Wildfire Daily Fire Perimeter,Image Interpretation,,2022/03/17 15:52:55+00,2022/03/17 15:55:37+00,,8939.71503058706,{602D9DB6-0DF2-4149-B147-7C5A13F5C7FC},2022 NIFS,,DEFAULT,,,,10636.5,,ARAOC,97590,,,,Active,Short-range Spotting,Short Crown Runs,Single Tree Torching,Human,,,,,2022/03/13 20:00:00+00,Type 4 Incident,,0,100,0,0,,,SACC,2022/03/17 00:41:00+00,2022/03/15 20:55:00+00,2022/03/17 00:41:00+00,U,Type 4 IC,62 Fire,"5.7 miles SW of Cooperton, OK",WF,FI,,,,,{6325FC31-9100-4BB1-9E64-8DE06E0C2F8C},,0,,,,,1,220478,50,100,,Kiowa,ARAOC,40075,,,,Private,Private,,,,,,,SA02,DVF,OKOKS,US-OK,,,Tall Grass (2.5 feet),Timber (Grass and Understory),22,2022-OKOKS-220478,No Decision,ics209,ics209,0,,,,IRWIN,,2022/03/17 01:31:25+00,2022/03/14 14:28:28+00,{6B0784EC-8D31-482F-B146-730D21CAA2A5},0,,,0.954400728109702,-0.0035600885944056
15445,Round Point,Wildfire Daily Fire Perimeter,GPS-Walked,,2022/03/17 16:00:35+00,2022/04/04 14:53:03+00,,1.76607811895174,{E126D94D-AEC7-455D-9059-613A27794673},2022 NIFS,,DEFAULT,,,,2,2,NHNEC,,,,,,,,,Undetermined,Undetermined,,,09144,2022/03/16 20:18:00+00,,2022/03/16 21:59:59+00,,,,,,,EACC,,,,,,Round Point,,WF,FI,,,,,{E4CA7D62-AD86-44DC-846C-192C7EF25318},,0,,,,,,MA050001,,,,Essex,NHNEC,25009,,,,Private,Private,,,,,,,EA23,FFC,MAMAS,US-MA,Grass,,,,,2022-MAMAS-MA050001,No Decision,INFORM_Inspector,INFORM_Inspector,0,,,,IRWIN,,2022/03/17 20:47:42+00,2022/03/17 11:25:25+00,{B12AF9EA-D717-4007-BFB0-C23FFAC5A77A},0,,,0.00352126048750974,-7.8450399999957e-07
15446,PEARL,Wildfire Daily Fire Perimeter,Image Interpretation,,2022/03/17 16:07:36+00,2022/03/17 16:08:27+00,,5265.0012712008,{0C610A03-372B-4D7A-8093-18BE2DAAFC37},2022 NIFS,,DEFAULT,,2022/03/08 18:00:00+00,,7680,1,ARAOC,10000,,,,Minimal,Creeping,Smoldering,,Human,,,PG7C,,2022/03/07 03:49:59+00,Type 3 Incident,,0,100,0,0,PA,1522,SACC,2022/03/08 20:00:00+00,2022/03/07 05:00:00+00,2022/03/08 20:00:00+00,F,Type 3 IC,PEARL,"10 miles W of Sapulpa, OK",WF,FI,36.00106,-96.30354,209,,{C15D7231-A4F6-4E94-A034-03E16B33B3B7},,0,1,0,0,0,0,000706,100,100,Sapulpa,Creek,ARAOC,40037,,,,Private,Private,,,,,,,SA17A,BIA,OKOMA,US-OK,,,Tall Grass (2.5 feet),,4,2022-OKOMA-000706,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/03/08 22:08:23+00,2022/03/08 21:54:37+00,{CC5253F3-26C0-4E28-8E72-8ECD18319221},0,,,0.339731188851416,-0.00213033976225257
15447,Cottonwood Complex,Wildfire Daily Fire Perimeter,Image Interpretation,,2022/03/17 16:24:23+00,2022/03/17 16:25:33+00,,6443.48494268898,{B0A7B329-9663-4FCF-B8F4-801C8E0ED535},2022 NIFS,,DEFAULT,,2022/03/17 14:00:00+00,,6180,1,COPBC,220222,,,,Minimal,,,,Human,,,PG54,,2022/03/05 18:00:00+00,Type 3 Incident,,0,100,0,0,PN,1522,RMCC,2022/03/17 14:00:00+00,2022/03/16 18:59:59+00,2022/03/17 14:00:00+00,F,Type 3 Team,Cottonwood Complex,"5 mi. East of Hutchinson, KS",WF,FI,38.06293,-97.75686,5800,,{572ED426-7703-45A2-8B20-792D08286592},,0,1,0,0,0,0,000156,100,100,Hutchinson,Reno,COPBC,20155,,,,Private,Private,,,,,,,RM28,C&L,KSRNX,US-KS,,,Short Grass (1 foot),Tall Grass (2.5 feet),4,2022-KSRNX-000156,No Decision,wildcad,wildcad,0,,,,IRWIN,,2022/03/17 14:18:20+00,2022/03/07 16:03:00+00,{66C55632-2156-40E5-99D1-BC23E2F1C3B4},0,,,0.489746900446154,-0.00267680929100021
15448,Panther WF,Wildfire Daily Fire Perimeter,Image Interpretation,,2022/03/17 16:40:40+00,2022/03/17 16:41:36+00,,687.192802229579,{B408C6ED-D05F-4100-BECB-6ED3B677AA69},2022 NIFS,,DEFAULT,,,,3670,,FLFIC,20000,,,,Minimal,Smoldering,Flanking,Backing,Human,,,,,2022/03/03 18:00:00+00,Type 4 Incident,,100,0,0,0,,,SACC,2022/03/09 18:00:00+00,2022/03/08 12:59:59+00,2022/03/09 18:00:00+00,F,Type 4 IC,Panther WF,"Fire located 3 miles NW of Hurlburt Field, AFB and 3 miles NE of Navarre, FL",WF,FI,,,,,{D64563A2-2D01-407D-ADCC-9DA4BD84AB0D},,0,,,,,0,000036,100,99,Mary Esther,Okaloosa,FLFIC,12091,USAF,FLEAQ,,DOD,Federal,,,,,,,SA44,USAF,FLEAQ,US-FL,,,Timber (Grass and Understory),Southern Rough,0,2022-FLEAQ-000036,No Decision,ics209,ics209,0,,,,IRWIN,,2022/03/09 19:30:02+00,2022/03/05 15:54:09+00,{B67027B7-06F2-4EE9-81B7-5AE8C3F04D84},0,,,0.118846576277652,-0.000261217436795907
15450,Walling,Wildfire Daily Fire Perimeter,Mixed Methods,382.955272620286,2022/03/17 18:21:53+00,2022/03/26 16:45:50+00,2022/03/16 20:40:00+00,382.954160506718,{853ABAEF-A737-42E5-B981-702A9FD35FDD},2022 NIFS,,ICS209,,2022/03/18 22:49:33+00,,383,20,TXTIC,0,,,,Active,,,,Undetermined,Undetermined,,,,2022/03/16 19:25:56+00,Type 5 Incident,,,,,,,,SACC,,,,,,Walling,,WF,FI,32.2548201,-99.09832726,,,{8A0A1093-C947-4DCC-AA01-12CAD72D0F88},,0,,,,,0,221677,100,100,,Eastland,TXTIC,48133,SFS,TXTXS,,Private,Private,,,,,,,SA10,SFS,TXTXS,US-TX,,,Brush (2 feet),,,2022-TXTXS-221677,No Decision,wires,ics209,0,,,,IRWIN,,2022/03/25 22:36:47+00,2022/03/16 20:17:00+00,{1320FCDC-B024-429A-9502-38579A2144EC},1,Eastland Complex,{9BE0950B-6E16-41AE-B6EF-695FBA915509},0.0762222497943293,-0.00014831070338093
